Species,lwa_m,lwa_sd,lwb_m,lwb_sd
Sargocentron suborbitale,0.01622,0.00876020408163266,2.97,0.086734693877551
Clepticus africanus,0.01,0.00588775510204082,3.05,0.0918367346938776
Chlorurus strongylocephalus,0.01413,0.00824489795918367,3.04,0.0918367346938776
Scarus coeruleus,0.01288,0.00498469387755102,3.05,0.0765306122448981
Leptoscarus vaigiensis,0.00891,0.00244897959183674,3.01,0.0663265306122451
Calotomus carolinus,0.0123,0.00380612244897959,3.13,0.0714285714285715
Calotomus viridescens,0.01995,0.0122448979591837,3.01,0.0918367346938776
Calotomus spinidens,0.01202,0.00363265306122449,3.13,0.0714285714285715
Cryptotomus roseus,0.01202,0.00427040816326531,3.13,0.0765306122448979
Nicholsina denticulata,0.01096,0.0059234693877551,3.08,0.0918367346938774
Sparisoma cretense,0.00955,0.00236734693877551,3.08,0.0612244897959184
Sparisoma radians,0.00977,0.00343367346938776,3.06,0.0765306122448979
Sparisoma atomarium,0.015714322511065,0.0054640765998536,3.12478840589298,0.071646183803889
Sparisoma tuiupiranga,0.01622,0.00562755102040816,3.13,0.0714285714285715
Sparisoma aurofrenatum,0.01072,0.00351020408163265,3.13,0.0714285714285715
Sparisoma amplum,0.01622,0.00575510204081633,3.13,0.0765306122448979
Sparisoma viride,0.0138,0.00370918367346939,3.05,0.0663265306122451
Sparisoma axillare,0.01288,0.00384183673469388,3.09,0.0663265306122451
Sparisoma rubripinne,0.00933,0.00327551020408163,3.04,0.0765306122448979
Sparisoma frondosum,0.01259,0.00427040816326531,3.12,0.0714285714285713
Sparisoma chrysopterum,0.01072,0.00286224489795918,3.09,0.0663265306122451
Cetoscarus ocellatus,0.01479,0.00596428571428571,3.03,0.0765306122448981
Cetoscarus bicolor,0.0145973784399628,0.00638531450648641,3.02926406679813,0.0795448135816638
Bolbometopon muricatum,0.01413,0.00824489795918367,3.04,0.0918367346938776
Hipposcarus harid,0.0126492716903109,0.00520600529137815,3.03319083624261,0.0774254850407434
Hipposcarus longiceps,0.0123,0.00485714285714286,3.03,0.0765306122448981
Chlorurus japanensis,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus frontalis,0.01023,0.00371428571428572,3.09,0.0816326530612246
Chlorurus rhakoura,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus spilurus,0.01413,0.00824489795918367,3.04,0.0918367346938776
Chlorurus sordidus,0.01585,0.00176020408163265,3.06,0.0255102040816326
Chlorurus bleekeri,0.0257,0.0130459183673469,3.02,0.0918367346938776
Chlorurus bowersi,0.00794,0.00529081632653061,3.1,0.10204081632653
Chlorurus microrhinos,0.01622,0.00431122448979592,3.03,0.0612244897959184
Chlorurus capistratoides,0.01413,0.00824489795918367,3.04,0.0918367346938776
Scarus dubius,0.0144713643736042,0.00794539921567776,3.05290188498193,0.0838755403978405
Scarus longipinnis,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus psittacus,0.01585,0.00176530612244898,3.06,0.0204081632653061
Scarus schlegeli,0.0166,0.0044030612244898,3.03,0.0612244897959184
Scarus russelii,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus hypselopterus,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus flavipectoralis,0.02188,0.0115051020408163,3.05,0.0969387755102043
Scarus spinus,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus festivus,0.01175,0.00503061224489796,3.15,0.0816326530612246
Scarus chameleon,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus quoyi,0.01622,0.00742857142857143,3.11,0.086734693877551
Scarus oviceps,0.01047,0.00466326530612245,3.12,0.0816326530612243
Scarus globiceps,0.01023,0.00446938775510204,3.11,0.086734693877551
Scarus rivulatus,0.01514,0.00406122448979592,3.08,0.0612244897959184
Scarus taeniopterus,0.0178133344633588,0.0087588409151126,3.01478984060545,0.0878020591623406
Scarus zelindae,0.01905,0.0096734693877551,3,0.0918367346938776
Scarus iseri,0.01096,0.00318367346938776,3.02,0.0663265306122448
Scarus coelestinus,0.01585,0.0074030612244898,3.06,0.0816326530612246
Scarus guacamaia,0.01349,0.0045765306122449,3.03,0.0714285714285715
Scarus trispinosus,0.01862,0.00742857142857143,3.06,0.0765306122448979
Scarus koputea,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus xanthopleura,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus ferrugineus,0.0149731556561968,0.00644173414444647,3.06572103546281,0.0754596144499725
Scarus rubroviolaceus,0.01318,0.00378061224489796,3.09,0.0612244897959184
Scarus compressus,0.01445,0.00851020408163265,3.05,0.0867346938775512
Scarus ghobban,0.01445,0.00179591836734694,3.04,0.0204081632653061
Scarus frenatus,0.02089,0.00833673469387755,3.09,0.0765306122448981
Scarus dimidiatus,0.01349,0.00600510204081633,3.12,0.0816326530612243
Scarus altipinnis,0.0138,0.00362755102040816,3.02,0.0612244897959184
Scarus prasiognathos,0.01148,0.00878571428571429,3.09,0.102040816326531
Scarus niger,0.01549,0.00404081632653061,3.11,0.0612244897959184
Scarus tricolor,0.01778,0.00709693877551021,3.08,0.0765306122448979
Scarus forsteni,0.01622,0.00808163265306122,3.02,0.0918367346938776
Scarus hoefleri,0.01096,0.0044234693877551,3,0.0765306122448979
Coris atlantica,0.01,0.00559183673469388,3.06,0.086734693877551
Scarus perrico,0.01148,0.00878571428571429,3.09,0.102040816326531
Pseudojuloides cerasinus,0.01,0.00559183673469388,3.06,0.086734693877551
Chlorurus perspicillatus,0.00952654276980256,0.00556260656146761,3.04278233181745,0.0865914670245017
Thalassoma newtoni,0.0049,0.00355102040816327,3.11,0.107142857142857
Scarus vetula,0.01445,0.00851020408163265,3.05,0.0867346938775512
Parapriacanthus ransonneti,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris oualensis,0.01445,0.00924489795918368,2.98,0.102040816326531
Pempheris vanicolensis,0.01288,0.00647959183673469,2.98,0.0969387755102041
Pempheris schwenkii,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris schomburgkii,0.01585,0.00925,2.95,0.10204081632653
Pempheris analis,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris mangula,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris adusta,0.01585,0.0111479591836735,2.99,0.107142857142857
Pempheris molucca,0.01585,0.0111479591836735,2.99,0.107142857142857
Lactophrys bicaudalis,0.0342221943134822,0.0138353991491503,2.79424511305385,0.0832304191492941
Rhinesomus triqueter,0.0342221943134822,0.0138353991491503,2.79424511305385,0.0832304191492941
Acanthostracion quadricornis,0.04074,0.0149387755102041,2.7,0.0816326530612243
Acanthostracion polygonius,0.02818,0.00945918367346939,2.83,0.0765306122448979
Lactoria diaphana,0.03631,0.0197857142857143,2.81,0.0969387755102041
Ostracion meleagris,0.03631,0.0197857142857143,2.81,0.0969387755102041
Ostracion cubicus,0.0537,0.0174132653061225,2.76,0.0765306122448981
Ostracion whitleyi,0.03631,0.0197857142857143,2.81,0.0969387755102041
Ostracion solorensis,0.03631,0.0197857142857143,2.81,0.0969387755102041
Cantherhines longicaudus,0.02089,0.0110918367346939,2.93,0.086734693877551
Canthigaster capistrata,0.02818,0.0198265306122449,2.94,0.107142857142857
Zanclus cornutus,0.01698,0.0136887755102041,3.06,0.11734693877551
Zebrasoma velifer,0.02399,0.00786734693877551,2.93,0.0714285714285713
Acanthurus bahianus,0.0195,0.00699489795918368,2.92,0.0765306122448979
Paracentropyge multifasciata,0.03236,0.019530612244898,2.88,0.0918367346938776
Centropyge loriculus,0.03236,0.019530612244898,2.88,0.0918367346938776
Kyphosus sandwicensis,0.01778,0.013,3.01,0.107142857142857
Hypoplectrus providencianus,0.01778,0.0144438775510204,3.03,0.11734693877551
Epinephelus marginatus,0.01047,0.00285714285714286,3.06,0.0612244897959184
Fistularia commersonii,0.0024,0.00113265306122449,2.94,0.0918367346938776
Fistularia tabacaria,7.6e-4,3.8265306122449e-4,2.95,0.0969387755102041
Bothus ocellatus,0.00912,0.00583163265306122,3.05,0.0969387755102043
Bothus mancus,0.00912,0.00583163265306122,3.05,0.0969387755102043
Ellochelon vaigiensis,0.01,0.00343367346938775,3.07,0.0714285714285715
Abudefduf luridus,0.020149169983433,0.011706374818922,2.99387060242374,0.088583374666471107
Pomacentrus callainus,0.02344,0.0128877551020408,2.98,0.086734693877551
Pomacentrus trichrourus,0.0174629825405405,0.00917502500748028,2.99038413777303,0.0908345973295847
Pomacentrus spilotoceps,0.02344,0.0128877551020408,2.98,0.086734693877551
Acanthurus nigricans,0.0263,0.010280612244898,2.92,0.0765306122448979
Halichoeres hortulanus,0.00977,0.00373979591836735,3.08,0.0765306122448979
Pygoplites diacanthus,0.0327724584425285,0.0184460336316013,2.87990526037289,0.0891659185932531
Ctenochaetus striatus,0.02344,0.00260714285714286,2.97,0.0255102040816326
Zebrasoma scopas,0.02455,0.00263775510204082,2.98,0.0255102040816326
Gomphosus varius,0.00676,0.00253571428571429,2.96,0.0765306122448979
Paracirrhites arcatus,0.00933,0.00741326530612245,3.07,0.112244897959184
Epibulus insidiator,0.02089,0.00912244897959184,2.97,0.0816326530612243
Chaetodon kleinii,0.0309,0.0101377551020408,3.04,0.0714285714285715
Naso brevirostris,0.01905,0.00554591836734694,3.02,0.0663265306122448
Naso lituratus,0.02512,0.0105408163265306,2.97,0.0816326530612243
Naso vlamingii,0.0263,0.00943877551020408,3.01,0.0765306122448981
Acanthurus thompsoni,0.0201947906276301,0.00916270482836881,2.97321255767479,0.0822112306548448
Melichthys vidua,0.02692,0.00986734693877551,3.05,0.0765306122448981
Macolor macularis,0.01585,0.00658673469387755,2.99,0.086734693877551
Lutjanus gibbus,0.01514,9.89795918367347e-4,2.98,0.0153061224489795
Parupeneus multifasciatus,0.01318,0.00412755102040816,3.11,0.0663265306122451
Lutjanus bohar,0.01259,0.0034030612244898,3,0.0612244897959184
Parupeneus insularis,0.01047,0.00430612244897959,3.09,0.0765306122448981
Cheilinus undulatus,0.01445,0.00419387755102041,2.99,0.0663265306122448
Cephalopholis argus,0.01175,0.0011734693877551,3.05,0.0153061224489797
Labroides bicolor,0.00447,0.00334183673469388,3.14,0.112244897959184
Centropyge vrolikii,0.03236,0.019530612244898,2.88,0.0918367346938776
Cheilinus fasciatus,0.0163816505625212,0.00697845529346652,2.97902168359404,0.0817367326587731
Chaetodon auriga,0.02512,0.0070765306122449,2.99,0.0663265306122448
Chaetodon vagabundus,0.01995,0.00646938775510204,2.99,0.0714285714285713
Hemitaurichthys polylepis,0.0218813322132026,0.0116923290516517,3.02017812022187,0.0866719969808994
Naso hexacanthus,0.02138,0.00693367346938776,2.99,0.0714285714285713
Melichthys niger,0.02754,0.0103214285714286,2.92,0.0765306122448979
Macolor niger,0.01738,0.00623469387755102,2.99,0.0714285714285713
Monotaxis grandoculis,0.02089,0.00354591836734694,2.94,0.0408163265306123
Balistoides viridescens,0.03236,0.0096530612244898,2.97,0.0663265306122448
Cantherhines dumerilii,0.02455,0.00870918367346939,2.92,0.0765306122448979
Bodianus mesothorax,0.01202,0.00713775510204082,3.05,0.0918367346938776
Chaetodon meyeri,0.02291,0.0118367346938776,3.01,0.0867346938775512
Oxycheilinus unifasciatus,0.0182081238588463,0.00822645399589242,2.96832751659437,0.0851960726923125
Naso unicornis,0.02344,0.00430612244897959,2.95,0.0459183673469387
Aprion virescens,0.01413,0.00136734693877551,2.95,0.0255102040816326
Cheilinus oxycephalus,0.0166,0.0106071428571429,2.95,0.10204081632653
Chaetodon rafflesii,0.02291,0.0118367346938776,3.01,0.0867346938775512
Acanthurus lineatus,0.01862,0.00485204081632653,2.96,0.0612244897959184
Siganus corallinus,0.01122,0.00475510204081633,3.16,0.0816326530612243
Balistoides conspicillum,0.0257,0.013765306122449,2.94,0.086734693877551
Gnathodentex aureolineatus,0.01514,0.00542857142857143,3.01,0.0765306122448981
Aphareus furca,0.01698,0.00609693877551021,2.95,0.0714285714285713
Gracila albomarginata,0.01122,0.00606122448979592,3.05,0.0816326530612246
Chaetodon lunulatus,0.02291,0.0118367346938776,3.01,0.0867346938775512
Lutjanus monostigma,0.0138,0.00437244897959184,2.96,0.0663265306122448
Pseudocheilinus octotaenia,0.0166,0.0106071428571429,2.95,0.10204081632653
Abudefduf vaigiensis,0.0263,0.00995918367346939,3.01,0.0714285714285715
Chromis xanthura,0.0166,0.00936224489795918,2.95,0.086734693877551
Chromis ternatensis,0.02344,0.00916326530612245,3.03,0.0765306122448981
Amblyglyphidodon aureus,0.02239,0.0125204081632653,2.99,0.086734693877551
Lutjanus semicinctus,0.01318,0.00488775510204082,3.03,0.0714285714285715
Anampses twistii,0.0108174830850547,0.00609130966609854,3.05562826729055,0.0871428569333968
Epinephelus polyphekadion,0.01096,0.00279591836734694,3.07,0.0612244897959184
Heniochus chrysostomus,0.0195,0.00581632653061225,3.09,0.0714285714285715
Acanthurus pyroferus,0.0233984081156878,0.0133135033065318,2.96042202152451,0.0863880875286711
Lethrinus erythracanthus,0.01202,0.00376530612244898,2.99,0.0663265306122448
Siganus punctatus,0.01514,0.0048469387755102,3.11,0.0714285714285715
Ctenochaetus strigosus,0.02291,0.00812755102040816,3.03,0.0714285714285715
Chaetodon ornatissimus,0.02291,0.0118367346938776,3.01,0.0867346938775512
Chaetodon ephippium,0.02239,0.00725510204081632,3.02,0.0714285714285715
Siganus vulpinus,0.0152825874983009,0.00712234617404221,3.04025915076468,0.0813217510219204
Lutjanus kasmira,0.01514,0.00112755102040816,2.98,0.0153061224489795
Chaetodon semeion,0.02291,0.0118367346938776,3.01,0.0867346938775512
Hemigymnus melapterus,0.01202,0.00445918367346939,3.06,0.0765306122448979
Pomacentrus philippinus,0.01778,0.00638265306122449,2.97,0.0765306122448979
Pseudodax moluccanus,0.01122,0.00677551020408163,3.04,0.086734693877551
Plectropomus laevis,0.00977,0.00331632653061225,3.07,0.0663265306122451
Paracirrhites forsteri,0.00933,0.00741326530612245,3.07,0.112244897959184
Amphiprion chrysopterus,0.0191075540056228,0.0107968734613604,3.00342494936425,0.0941742845514767
Amblyglyphidodon leucogaster,0.01995,0.00812755102040816,2.97,0.0765306122448979
Oxycheilinus digramma,0.0195,0.0090204081632653,2.95,0.086734693877551
Forcipiger flavissimus,0.0221686261193508,0.0102214904329386,3.02503222573041,0.0820216545510917
Bodianus diana,0.01202,0.00713775510204082,3.05,0.0918367346938776
Lutjanus biguttatus,0.01479,0.00820408163265306,2.97,0.086734693877551
Kyphosus vaigiensis,0.01698,0.00705612244897959,3,0.086734693877551
Chaetodon baronessa,0.02344,0.0105408163265306,3,0.0816326530612246
Chaetodon speculum,0.02512,0.00862244897959184,2.97,0.0765306122448979
Balistapus undulatus,0.03631,0.0123214285714286,3,0.0714285714285715
Hemigymnus fasciatus,0.0113872651776014,0.00474335793481042,3.06034865758653,0.0802720206367325
Chromis caudalis,0.0182,0.0115408163265306,3,0.0918367346938776
Halichoeres marginatus,0.01072,0.00414285714285714,3.14,0.0765306122448979
Heniochus varius,0.0219142077386484,0.0110766545092462,3.02589357424776,0.0848886132193804
Centropyge bispinosa,0.03548,0.0125918367346939,2.73,0.0765306122448979
Pseudanthias tuka,0.00933,0.00682142857142857,2.97,0.10204081632653
Forcipiger longirostris,0.02239,0.0102551020408163,3.02,0.0816326530612246
Pomacanthus imperator,0.04677,0.0192397959183673,2.89,0.0816326530612243
Heniochus singularius,0.0208661335138233,0.00744306274261361,3.04357545268805,0.0750434778897429
Coris aygula,0.00832,0.00311734693877551,3.12,0.0765306122448979
Epinephelus howlandi,0.01148,0.00306632653061224,3.03,0.0612244897959184
Acanthurus nigricauda,0.02344,0.00226530612244898,2.95,0.0204081632653061
Chromis amboinensis,0.019652592925880102,0.0103139613420738,3.00588378094124,0.0847428156098174
Arothron nigropunctatus,0.02138,0.00979591836734694,2.87,0.0816326530612243
Chromis alpha,0.0182,0.0115408163265306,3,0.0918367346938776
Dascyllus trimaculatus,0.03467,0.010469387755102,2.99,0.0663265306122448
Halichoeres richmondi,0.01,0.00578571428571429,3.08,0.086734693877551
Halichoeres melanurus,0.01318,0.00437755102040816,3.18,0.0714285714285713
Thalassoma lunare,0.01259,0.00355102040816327,2.96,0.0663265306122448
Siganus punctatissimus,0.01585,0.0104642857142857,3.07,0.0969387755102041
Pomacanthus navarchus,0.0389,0.0267295918367347,2.88,0.0918367346938776
Siganus fuscescens,0.01413,0.00361224489795918,2.94,0.0612244897959184
Variola louti,0.01096,6.53061224489796e-4,3.04,0.0153061224489795
Cirrhilabrus cyanopleura,0.0166,0.0106071428571429,2.95,0.10204081632653
Ctenochaetus binotatus,0.03388,0.00977551020408163,2.93,0.0663265306122448
Parupeneus barberinus,0.01148,0.00152551020408163,3.08,0.0204081632653061
Parupeneus cyclostomus,0.01072,0.0044030612244898,3.1,0.0765306122448979
Plectropomus leopardus,0.01148,7.19387755102041e-4,3.05,0.0153061224489797
Centropyge tibicen,0.03548,0.0119081632653061,2.84,0.0714285714285715
Pseudobalistes flavimarginatus,0.0257,0.013765306122449,2.94,0.086734693877551
Amblyglyphidodon curacao,0.02818,0.00798979591836734,3.01,0.0663265306122451
Neoglyphidodon melas,0.02239,0.0125204081632653,2.99,0.086734693877551
Stegastes lividus,0.0209172038021741,0.00955152070091611,2.99452483371904,0.081441819282388
Mulloidichthys flavolineatus,0.01096,9.33673469387755e-4,3.08,0.0204081632653061
Epinephelus merra,0.01148,8.41836734693877e-4,3.04,0.0153061224489795
Chaetodon oxycephalus,0.02291,0.0118367346938776,3.01,0.0867346938775512
Ctenochaetus tominiensis,0.02344,0.0138010204081633,2.96,0.086734693877551
Stegastes fasciolatus,0.0202543492482443,0.0116435091567941,2.9898628055656302,0.0867461597642089
Cheilinus chlorourus,0.0182,0.00603571428571429,2.95,0.0714285714285713
Cephalopholis miniata,0.01047,0.00273979591836735,3.07,0.0612244897959184
Dischistodus perspicillatus,0.01514,0.00920918367346939,2.99,0.0969387755102041
Acanthurus xanthopterus,0.01445,0.00946938775510204,3,0.107142857142857
Pseudobalistes fuscus,0.03631,0.0131683673469388,2.94,0.0765306122448979
Pseudocheilinus evanidus,0.0161488841864802,0.009933480474582,2.96070130128251,0.0988839046456209
Apolemichthys trimaculatus,0.03236,0.019530612244898,2.88,0.0918367346938776
Lethrinus harak,0.01445,0.00158163265306122,2.99,0.0204081632653059
Aethaloperca rogaa,0.0124250252713457,0.00446273178767003,3.05331450467211,0.0634438462048973
Centropyge bicolor,0.0327109129078903,0.0186814375263484,2.87631022538103,0.0895498661512338
Odonus niger,0.03236,0.011484693877551,2.96,0.0765306122448979
Cephalopholis leopardus,0.0142430725910914,0.00483005202636227,3.07110336417664,0.0654652190197205
Parupeneus pleurostigma,0.0113102817585286,0.0042724090904941,3.09295153957529,0.0617036033264265
Sufflamen chrysopterum,0.02042,0.0074030612244898,2.94,0.0765306122448979
Cephalopholis urodeta,0.01202,0.00385204081632653,3.04,0.0663265306122448
Acanthurus leucocheilus,0.02344,0.0134540816326531,2.96,0.086734693877551
Thalassoma quinquevittatum,0.00911234603899158,0.003769531888561,3.03902487325177,0.0783575126957712
Thalassoma hardwicke,0.01,0.00290816326530612,3.04,0.0663265306122448
Arothron meleagris,0.03388,0.0240204081632653,2.87,0.0918367346938774
Chaetodon lunula,0.02291,0.0118367346938776,3.01,0.0867346938775512
Thalassoma amblycephalum,0.00922827992929946,0.0047007798219357,3.01835976439928,0.081545793375913
Acanthurus nigrofuscus,0.02512,0.00293367346938776,2.96,0.0204081632653061
Chaetodon citrinellus,0.02291,0.00675,2.95,0.0663265306122448
Acanthurus triostegus,0.02455,0.00283163265306122,2.96,0.0204081632653061
Stethojulis trilineata,0.01047,0.00413265306122449,3.09,0.0765306122448981
Coris gaimard,0.0105723227540284,0.0069747145642491,3.07453532602176,0.0938706709360318
Stethojulis bandanensis,0.01023,0.00416836734693878,2.99,0.0765306122448979
Rhinecanthus rectangulus,0.0257,0.00942857142857143,2.92,0.0765306122448979
Halichoeres margaritaceus,0.0105638348108571,0.00600929508032719,3.0616568432978,0.0870241276710344
Acanthurus olivaceus,0.0263,0.00758673469387755,3,0.0663265306122448
Rhinecanthus verrucosus,0.0195,0.00603061224489796,2.93,0.0714285714285713
Stegastes albifasciatus,0.02138,0.0100765306122449,2.98,0.0816326530612246
Chaetodontoplus mesoleucus,0.03236,0.019530612244898,2.88,0.0918367346938776
Diploprion bifasciatum,0.0182,0.0147755102040816,3.04,0.11734693877551
Cephalopholis boenak,0.01259,0.00143367346938776,3.05,0.0153061224489797
Cephalopholis cyanostigma,0.01318,0.00403061224489796,3.03,0.0663265306122451
Plectorhinchus polytaenia,0.01349,0.00728571428571429,3.01,0.0867346938775512
Lutjanus carponotatus,0.01479,0.00710714285714286,2.96,0.0816326530612246
Cephalopholis microprion,0.0166,0.0063469387755102,3.11,0.0765306122448979
Siganus lineatus,0.01778,0.00556632653061225,2.99,0.0714285714285713
Siganus puellus,0.01259,0.00476530612244898,2.97,0.0765306122448979
Plectropomus oligacanthus,0.00955,0.00338775510204082,3.01,0.0714285714285715
Siganus doliatus,0.01413,0.00517857142857143,3.1,0.0765306122448979
